epoch,training_accuracy,training_f1,training_loss,validation_accuracy,validation_f1,validation_loss
1,0.5799098196392785,0.5760787266418899,1.3946301193237305,0.5951293759512937,0.5633421586755639,1.2176908325581324
2,0.7317134268537073,0.7113382686602743,0.9663165891170502,0.593607305936073,0.58802732333882,1.2790414960611434
3,0.782565130260521,0.7678957059392071,0.7734424189329148,0.6324200913242009,0.6234752958484975,1.3778079975219
4,0.847444889779559,0.8387381914380352,0.5890212104916572,0.6019786910197868,0.6059633002940255,1.5322437485059102
5,0.8719939879759518,0.8658563957016054,0.4997904266119003,0.6476407914764079,0.6474459480209865,1.4855530439388185
6,0.8957915831663326,0.8916052528778863,0.41157765345275404,0.7222222222222222,0.7029024607542069,1.470666179433465
7,0.9198396793587174,0.9159929246428985,0.32187840158492326,0.7245053272450532,0.7090172524886234,1.575343743543185
8,0.9534068136272544,0.9500724996725722,0.22199975571408867,0.7115677321156773,0.6939284089577071,1.879071991136741
9,0.9649298597194388,0.9624864348930052,0.17954061534255744,0.6910197869101978,0.6793705148596247,1.9475321404281116
10,0.9749498997995991,0.9735145367787268,0.12950191728584468,0.6841704718417047,0.6806379128498643,2.007443025353409
11,0.9797094188376753,0.9787364025051246,0.0992208748869598,0.6575342465753424,0.6562225813482984,2.2025143461568013
12,0.9862224448897795,0.9857730266633997,0.07348030894529074,0.6248097412480974,0.6291674686615538,2.545712561124847
13,0.9902304609218436,0.98972894551668,0.049447716432623565,0.6179604261796042,0.6223711852932142,2.603061942827134
14,0.9922344689378757,0.9919446889958717,0.04687220798945054,0.639269406392694,0.6422157268786032,2.674655040814763
15,0.9929859719438877,0.992879829247867,0.03218234158027917,0.5844748858447488,0.592478142744832,2.920130106664839
16,0.9937374749498997,0.9936885603738586,0.03188356301607564,0.6461187214611872,0.6481390709955241,2.731758224112647
17,0.9937374749498997,0.9937271187796715,0.027913348498288543,0.6537290715372907,0.6553304722746532,2.748993617438135
18,0.9932364729458917,0.9932262101718359,0.026145408804295583,0.6742770167427701,0.671081267488425,2.7267795907599583
19,0.9947394789579157,0.9947216282900655,0.023227103173965587,0.6628614916286149,0.6622281716254765,2.747974961641289
20,0.9949899799599198,0.994980935807772,0.019754614116158337,0.6796042617960426,0.6750960440743466,2.7672990230577335
21,0.9954909819639278,0.9954766664938599,0.020859453050186858,0.6834094368340944,0.6782070076996107,2.7959114997869445
22,0.9967434869739478,0.9967265344296722,0.013655623271595687,0.6659056316590563,0.6643950094411157,2.838516196324712
23,0.9959919839679358,0.9959704434900964,0.020320145651465282,0.6757990867579908,0.6730001624791877,2.868063961820943
24,0.9969939879759518,0.9969762878460325,0.012244392224471086,0.671993911719939,0.6683500284707052,2.95749936572143
25,0.9969939879759518,0.9969742725696611,0.009916312687448225,0.671993911719939,0.6692346181742621,3.01276295596645
26,0.9954909819639278,0.9954729339684103,0.018370129077346063,0.6948249619482496,0.6877736891192722,2.896371902631862
27,0.9974949899799599,0.9974751002775283,0.013163746490259655,0.7070015220700152,0.6978792269922572,2.8380407742446376
28,0.9974949899799599,0.9974751002775283,0.011855771743343211,0.7062404870624048,0.6961670723986644,2.922888515605813
29,0.9972444889779558,0.9972365955249552,0.011386183475493453,0.7070015220700152,0.6956201145860934,2.9135980483676707
30,0.9982464929859719,0.9982262757171743,0.009389985542278738,0.7077625570776256,0.6982042727038942,2.8875640666201
31,0.9979959919839678,0.9979770554743751,0.0088785683644237,0.697869101978691,0.6878029063426223,2.971403041233619
